Date,Month,Hour,dewpt,heatindex,humidity,temp,Humidity previous
6,11,15,10,,56,19,
6,11,17,10,,56,19,
6,11,18,10,,56,19,
6,11,19,10,,59,18,
6,11,20,11,,68,17,
6,11,21,11,,72,16,
6,11,22,11,,72,16,
6,11,23,11,,77,15,
7,11,0,11,,77,15,
7,11,1,11,,68,17,
7,11,2,10,,59,18,
7,11,3,12,,64,19,
7,11,4,13,,53,23,
7,11,5,13,,47,25,
7,11,6,11,,37,27,
7,11,7,11,,33,29,
7,11,8,8,,27,29,
7,11,9,8,,25,30,
7,11,10,7,,23,30,
7,11,11,7,,25,29,
7,11,12,9,,36,25,
7,11,13,9,,38,24,
7,11,14,10,,46,22,
7,11,15,9,,49,20,
7,11,16,9,,52,19,
7,11,17,9,,52,19,
7,11,18,8,,49,19,
7,11,19,8,,52,18,
7,11,20,9,,59,17,
7,11,21,9,,59,17,
7,11,22,8,,59,16,
7,11,23,8,,63,15,
8,11,0,7,,59,15,
8,11,1,,,N/A,,
8,11,2,8,,59,16,
8,11,3,7,,49,18,
8,11,4,9,,46,21,
8,11,5,9,,38,24,
8,11,6,9,,32,27,
8,11,7,5,,23,28,
8,11,8,6,,23,29,
8,11,9,6,,23,29,
8,11,10,6,,25,28,
8,11,11,6,,26,27,
8,11,12,9,,41,23,
8,11,13,9,,46,21,
8,11,14,10,,49,21,
8,11,15,9,,49,20,
8,11,16,9,,49,20,
8,11,17,10,,56,19,
8,11,18,9,,52,19,
8,11,19,10,,59,18,
8,11,20,9,,59,17,
8,11,21,9,,59,17,
8,11,22,8,,59,16,
8,11,23,8,,59,16,
9,11,0,7,,55,16,
9,11,1,7,,59,15,
9,11,2,6,,52,16,
9,11,3,7,,49,18,
9,11,4,9,,46,21,
9,11,5,9,,38,24,
9,11,7,7,,28,27,
9,11,8,8,,28,28,
9,11,9,7,,26,28,
9,11,11,8,,30,27,
9,11,12,7,,32,25,
9,11,13,8,,43,21,
9,11,14,8,,46,20,
9,11,15,9,,52,19,
9,11,16,9,,52,19,
9,11,17,9,,56,18,
9,11,18,8,,55,17,
9,11,19,8,,55,17,
9,11,20,8,,55,17,
9,11,21,8,,63,15,
9,11,22,7,,59,15,
9,11,23,7,,59,15,
10,11,0,7,,63,14,
10,11,1,7,,63,14,
10,11,2,7,,59,15,
10,11,3,7,,49,18,
10,11,4,8,,41,22,
10,11,5,8,,36,24,
10,11,6,7,,30,26,
10,11,7,6,,25,28,
10,11,8,5,,22,29,
10,11,9,4,,20,29,
10,11,10,4,,20,29,
10,11,11,5,,24,27,
10,11,12,6,,33,23,
10,11,13,7,,40,21,
10,11,15,9,,56,18,
10,11,16,8,,49,19,
10,11,18,7,,49,18,
10,11,19,6,,48,17,
10,11,20,7,,55,16,
10,11,21,7,,59,15,
10,11,22,8,,67,14,
10,11,23,7,,63,14,
11,11,0,7,,63,14,
11,11,1,7,,59,15,
11,11,2,7,,49,18,
11,11,3,5,,40,19,
11,11,4,7,,34,24,
11,11,5,7,,28,27,
11,11,6,4,,21,28,
11,11,7,4,,20,29,
11,11,8,2,,17,30,
11,11,9,1,,17,28,
11,11,10,2,,18,29,
11,11,11,5,,23,28,
11,11,12,7,,34,24,
11,11,13,7,,36,23,
11,11,14,7,,38,22,
11,11,15,7,,43,20,
11,11,16,6,,40,20,
11,11,17,5,,37,20,
11,11,18,6,,43,19,
11,11,19,5,,37,20,
11,11,20,7,,49,18,
11,11,21,9,,59,17,
11,11,22,9,,63,16,
12,11,0,9,,63,16,
12,11,1,7,,55,16,
12,11,2,6,,38,21,
12,11,3,6,,31,24,
12,11,4,6,,28,26,
12,11,5,5,,23,28,
12,11,6,5,,20,30,
12,11,7,4,,19,30,
12,11,8,4,,18,31,
12,11,9,5,,19,31,
12,11,10,5,,20,30,
12,11,11,6,,25,28,
12,11,12,8,,34,25,
12,11,13,8,,36,24,
12,11,14,8,,38,23,
12,11,15,7,,38,22,
12,11,16,8,,41,22,
12,11,17,10,,49,21,
12,11,18,10,,49,21,
12,11,19,10,,56,19,
12,11,20,10,,52,20,
12,11,21,10,,52,20,
12,11,22,12,,68,18,
12,11,23,12,,72,17,
13,11,0,11,,68,17,
13,11,1,11,,60,19,
13,11,2,,,N/A,,
13,11,3,12,,56,21,
13,11,4,12,,44,25,
13,11,5,11,,41,25,
13,11,6,11,,39,26,
13,11,7,10,,32,28,
13,11,8,10,,23,34,
13,11,9,12,27.5,37,28,
13,11,10,11,,35,28,
13,11,11,13,27,42,27,
13,11,12,13,,47,25,
13,11,13,14,,57,23,
13,11,14,13,,57,22,27.5
13,11,15,13,,60,21,
13,11,17,13,,60,21,27
13,11,18,13,,60,21,
13,11,19,13,,64,20,
13,11,20,12,,64,19,
13,11,21,14,,64,21,
13,11,22,13,,53,23,
13,11,23,13,,64,20,
14,11,0,13,,64,20,
14,11,1,13,,60,21,
14,11,4,13,,57,22,
14,11,5,9,,36,25,
14,11,6,10,,36,26,
14,11,7,9,,32,27,
14,11,8,6,,25,28,
14,11,9,7,,26,28,
14,11,10,6,,25,28,
14,11,11,6,,26,27,
14,11,12,8,,36,24,
14,11,13,8,,43,21,
14,11,14,8,,49,19,
14,11,15,9,,52,19,
14,11,20,8,,59,16,
14,11,21,8,,63,15,
14,11,22,8,,67,14,
14,11,23,8,,67,14,
15,11,0,8,,67,14,
15,11,1,7,,63,14,
15,11,3,7,,59,15,
15,11,5,8,,41,22,
15,11,6,8,,38,23,
15,11,7,9,,36,25,
15,11,8,5,,26,26,
15,11,11,5,,29,24,
15,11,12,7,,38,22,
15,11,13,9,,52,19,
15,11,16,9,,59,17,
15,11,17,8,,59,16,
15,11,18,8,,63,15,
15,11,19,7,,63,14,
15,11,20,7,,63,14,
15,11,21,7,,67,13,
15,11,22,7,,72,12,
15,11,23,6,,67,12,
16,11,0,5,,67,11,
16,11,1,4,,62,11,
16,11,2,4,,58,12,
16,11,3,3,,45,15,
16,11,4,3,,39,17,
16,11,5,2,,32,19,
16,11,6,,,N/A,,
16,11,7,-1,,19,24,
16,11,8,0,,19,25,
16,11,9,1,,21,25,
16,11,10,1,,21,25,
16,11,11,1,,23,23,
16,11,12,2,,27,22,
16,11,13,3,,39,17,
16,11,14,4,,42,17,
16,11,15,2,,37,17,
16,11,16,2,,39,16,
16,11,17,2,,42,15,
16,11,18,2,,44,14,
16,11,19,2,,44,14,
16,11,21,3,,58,11,
16,11,22,3,,58,11,
17,11,0,2,,58,10,
17,11,1,4,,62,11,
17,11,2,3,,58,11,
17,11,3,2,,44,14,
17,11,4,3,,37,18,
17,11,5,3,,31,21,
17,11,6,3,,27,23,
17,11,7,0,,19,25,
17,11,8,0,,19,25,
17,11,9,-1,,17,26,
17,11,10,-1,,18,25,
17,11,11,1,,22,24,
17,11,12,2,,27,22,
17,11,13,3,,37,18,
17,11,14,5,,45,17,
17,11,15,4,,42,17,
17,11,16,3,,39,17,
17,11,17,3,,42,16,
17,11,18,6,,59,14,
17,11,19,5,,55,14,
17,11,20,4,,51,14,
17,11,21,5,,58,13,
17,11,22,5,,62,12,
17,11,23,4,,58,12,
18,11,0,3,,51,13,
18,11,1,3,,51,13,
18,11,2,1,,39,15,
18,11,3,3,,39,17,
18,11,4,3,,29,22,
18,11,5,2,,22,25,
18,11,10,0,,16,28,
18,11,11,5,,28,25,
18,11,12,6,,38,21,
18,11,13,6,,38,21,
18,11,14,6,,40,20,
18,11,15,4,,37,19,
18,11,16,4,,40,18,
18,11,17,4,,42,17,
18,11,18,4,,45,16,
18,11,19,4,,42,17,
18,11,21,5,,51,15,
18,11,22,7,,52,17,
18,11,23,3,,45,15,
19,11,0,3,,42,16,
19,11,1,3,,42,16,
19,11,2,3,,39,17,
19,11,3,3,,35,19,
19,11,4,5,,37,20,
19,11,5,3,,25,24,
19,11,6,2,,24,24,
19,11,7,5,,28,25,
19,11,8,3,,24,25,
19,11,9,4,,26,25,
19,11,10,3,,24,25,
19,11,11,6,,33,23,
19,11,12,5,,40,19,
19,11,13,7,,52,17,
19,11,15,8,,55,17,
19,11,16,9,,63,16,
19,11,17,9,,59,17,
19,11,18,9,,63,16,
19,11,19,9,,63,16,
19,11,20,11,,72,16,
19,11,21,11,,77,15,
19,11,22,11,,68,17,
19,11,23,12,,72,17,
20,11,0,12,,72,17,
20,11,1,12,,72,17,
20,11,2,14,,60,22,
20,11,3,13,,68,19,
20,11,5,11,,50,22,
20,11,6,13,,53,23,
20,11,8,12,,44,25,
20,11,9,12,,44,25,
20,11,10,12,,50,23,
20,11,11,13,,57,22,
20,11,12,13,,60,21,
20,11,13,14,,68,20,
20,11,14,14,,64,21,
20,11,15,14,,68,20,
20,11,16,13,,64,20,
20,11,17,10,,56,19,
20,11,18,9,,52,19,
20,11,19,10,,68,16,
20,11,20,10,,63,17,
20,11,21,10,,68,16,
20,11,22,10,,77,14,
20,11,23,9,,72,14,
21,11,1,9,,72,14,
21,11,2,8,,63,15,
21,11,3,8,,63,15,
21,11,4,9,,63,16,
21,11,5,11,,60,19,
21,11,6,12,,53,22,
21,11,7,13,,53,23,
21,11,8,13,,47,25,
21,11,9,12,,44,25,
21,11,10,11,,41,25,
21,11,12,13,,64,20,
21,11,13,13,,68,19,
21,11,14,12,,64,19,
21,11,15,12,,64,19,
21,11,16,11,,68,17,
21,11,17,8,,55,17,
21,11,18,6,,52,16,
21,11,19,6,,55,15,
21,11,20,6,,63,13,
21,11,21,6,,63,13,
21,11,22,6,,71,11,
21,11,23,7,,76,11,
22,11,0,6,,71,11,
22,11,2,5,,62,12,
22,11,3,7,,72,12,
22,11,4,5,,48,16,
22,11,5,5,,40,19,
22,11,10,4,,29,23,
22,11,11,5,,35,21,
22,11,12,5,,40,19,
22,11,13,6,,52,16,
22,11,14,6,,55,15,
22,11,15,5,,55,14,
22,11,16,7,,59,15,
22,11,17,7,,67,13,
22,11,18,7,,67,13,
22,11,19,6,,63,13,
22,11,21,6,,67,12,
22,11,22,6,,67,12,
22,11,23,6,,67,12,
23,11,1,6,,67,12,
23,11,2,6,,59,14,
23,11,3,6,,59,14,
23,11,4,6,,48,17,
23,11,5,5,,40,19,
23,11,6,7,,43,20,
23,11,7,5,,35,21,
23,11,8,5,,33,22,
23,11,9,6,,33,23,
23,11,10,4,,31,22,
23,11,11,6,,38,21,
23,11,12,6,,43,19,
23,11,13,7,,52,17,
23,11,14,7,,55,16,
23,11,15,7,,59,15,
23,11,16,6,,55,15,
23,11,17,7,,63,14,
23,11,18,7,,63,14,
23,11,19,6,,63,13,
23,11,20,6,,67,12,
23,11,21,6,,67,12,
23,11,22,5,,67,11,
23,11,23,6,,76,10,
24,11,0,6,,76,10,
24,11,1,6,,71,11,
24,11,2,7,,72,12,
24,11,3,6,,63,13,
24,11,4,7,,55,16,
24,11,5,9,,52,19,
24,11,6,6,,38,21,
24,11,7,7,,38,22,
24,11,8,6,,31,24,
24,11,9,5,,29,24,
24,11,10,4,,27,24,
24,11,11,4,,31,22,
24,11,12,4,,37,19,
24,11,13,5,,48,16,
24,11,14,5,,45,17,
24,11,15,5,,48,16,
24,11,16,5,,51,15,
24,11,17,5,,58,13,
24,11,18,4,,51,14,
24,11,19,5,,62,12,
24,11,20,5,,58,13,
24,11,21,6,,71,11,
24,11,22,5,,62,12,
24,11,23,5,,67,11,
25,11,0,4,,62,11,
25,11,1,4,,58,12,
25,11,2,4,,54,13,
25,11,3,5,,51,15,
25,11,4,4,,42,17,
25,11,5,5,,37,20,
25,11,6,5,,33,22,
25,11,8,4,,27,24,
25,11,9,4,,27,24,
25,11,10,4,,26,25,
25,11,11,4,,29,23,
25,11,12,5,,37,20,
25,11,13,5,,45,17,
25,11,14,6,,48,17,
25,11,15,7,,55,16,
25,11,16,6,,55,15,
25,11,17,6,,55,15,
25,11,18,6,,59,14,
25,11,19,6,,59,14,
25,11,20,5,,55,14,
25,11,21,5,,62,12,
25,11,23,6,,67,12,
26,11,0,6,,63,13,
26,11,1,5,,62,12,
26,11,2,7,,55,16,
26,11,3,6,,48,17,
26,11,4,,,N/A,,
26,11,5,6,,29,25,
26,11,6,4,,26,25,
26,11,7,4,,23,27,
26,11,8,5,,24,27,
26,11,9,4,,23,27,
26,11,10,5,,23,28,
26,11,11,8,,36,24,
26,11,12,8,,43,21,
26,11,13,8,,49,19,
26,11,15,7,,49,18,
26,11,16,7,,52,17,
26,11,17,8,,55,17,
26,11,18,8,,63,15,
26,11,19,7,,59,15,
26,11,20,7,,59,15,
26,11,21,7,,59,15,
26,11,22,7,,63,14,
26,11,23,7,,63,14,
27,11,0,7,,67,13,
27,11,1,7,,63,14,
27,11,2,8,,63,15,
27,11,4,9,,49,20,
27,11,5,6,,33,23,
27,11,7,7,,32,25,
27,11,8,5,,28,25,
27,11,9,5,,28,25,
27,11,10,7,,34,24,
27,11,12,6,,38,21,
27,11,13,9,,56,18,
27,11,14,9,,59,17,
27,11,15,9,,63,16,
27,11,16,8,,59,16,
27,11,17,8,,63,15,
27,11,18,8,,63,15,
27,11,19,8,,67,14,
27,11,20,8,,72,13,
27,11,21,8,,67,14,
27,11,22,8,,72,13,
27,11,23,8,,77,12,
28,11,1,9,,77,13,
28,11,2,8,,63,15,
28,11,5,6,,38,21,
28,11,6,6,,33,23,
28,11,8,2,,22,25,
28,11,9,0,,21,24,
28,11,10,0,,21,24,
28,11,11,1,,23,23,
28,11,12,3,,33,20,
28,11,13,5,,45,17,
28,11,14,5,,51,15,
28,11,15,4,,42,17,
28,11,16,5,,45,17,
28,11,17,5,,58,13,
28,11,18,5,,55,14,
28,11,19,5,,55,14,
28,11,20,5,,62,12,
28,11,21,4,,58,12,
28,11,22,4,,66,10,
29,11,9,-4,,16,23,
29,11,13,1,,36,16,
29,11,14,1,,39,15,
29,11,16,2,,51,12,
29,11,17,2,,51,12,
29,11,18,,,N/A,,
29,11,19,3,,62,10,
29,11,20,3,,62,10,
29,11,21,3,,62,10,
29,11,23,4,,71,9,
30,11,0,3,,66,9,
30,11,1,2,,62,9,
30,11,2,4,,66,10,
30,11,3,3,,54,12,
30,11,4,3,,45,15,
30,11,5,4,,37,19,
30,11,6,2,,28,21,
30,11,7,1,,27,21,
30,11,8,-1,,22,22,
30,11,9,-1,,22,22,
30,11,10,-1,,22,22,
30,11,13,3,,42,16,
30,11,14,3,,48,14,
30,11,15,4,,51,14,
30,11,16,4,,54,13,
30,11,17,3,,54,12,
30,11,18,3,,58,11,
30,11,19,3,,58,11,
30,11,20,4,,62,11,
30,11,21,4,,66,10,
30,11,22,4,,71,9,
30,11,23,3,,62,10,
1,12,0,4,,71,9,
1,12,1,2,,58,10,
1,12,2,3,,58,11,
1,12,3,3,,54,12,
1,12,4,3,,45,15,
1,12,5,3,,37,18,
1,12,6,3,,33,20,
1,12,7,3,,31,21,
1,12,10,2,,27,22,
1,12,11,2,,28,21,
1,12,12,4,,40,18,
1,12,13,4,,48,15,
1,12,14,5,,55,14,
1,12,15,5,,58,13,
1,12,16,5,,58,13,
1,12,17,5,,67,11,
1,12,18,5,,58,13,
1,12,19,5,,67,11,
1,12,20,5,,67,11,
1,12,21,5,,67,11,
1,12,22,5,,76,9,
1,12,23,6,,82,9,
2,12,1,5,,76,9,
2,12,4,5,,55,14,
2,12,5,6,,48,17,
2,12,6,6,,43,19,
2,12,7,5,,35,21,
2,12,8,4,,31,22,
2,12,9,1,,23,23,
2,12,10,1,,23,23,
2,12,11,2,,28,21,
2,12,12,3,,39,17,
2,12,13,4,,45,16,
2,12,14,4,,48,15,
2,12,15,5,,58,13,
2,12,16,4,,51,14,
2,12,17,5,,58,13,
2,12,18,4,,58,12,
2,12,19,4,,58,12,
2,12,20,4,,66,10,
2,12,21,3,,58,11,
2,12,22,3,,66,9,
2,12,23,4,,66,10,
3,12,1,4,,71,9,
3,12,3,5,,51,15,
3,12,4,6,,55,15,
3,12,5,8,,49,19,
3,12,6,8,,43,21,
3,12,8,8,,41,22,
3,12,9,9,,41,23,
3,12,10,7,,38,22,
3,12,11,10,,52,20,
3,12,12,10,,59,18,
3,12,13,9,,63,16,
3,12,14,8,,59,16,
3,12,15,8,,63,15,
3,12,16,8,,67,14,
3,12,17,8,,67,14,
3,12,18,8,,72,13,
3,12,19,8,,77,12,
3,12,20,8,,77,12,
3,12,21,8,,82,11,
4,12,0,8,,82,11,
4,12,1,8,,72,13,
4,12,2,8,,67,14,
4,12,3,8,,67,14,
4,12,4,9,,67,15,
4,12,5,8,,52,18,
4,12,6,8,,43,21,
4,12,7,9,,43,22,
4,12,8,5,,31,23,
4,12,9,4,,27,24,
4,12,10,4,,27,24,
4,12,11,4,,29,23,
4,12,13,6,,52,16,
4,12,14,6,,55,15,
4,12,15,6,,55,15,
4,12,16,6,,59,14,
4,12,17,6,,59,14,
4,12,18,7,,67,13,
4,12,19,7,,72,12,
4,12,21,6,,76,10,
4,12,22,6,,76,10,
5,12,3,8,,72,13,
5,12,4,7,,59,15,
5,12,5,8,,59,16,
5,12,6,7,,46,19,
5,12,7,7,,46,19,
5,12,8,6,,38,21,
5,12,9,5,,35,21,
5,12,10,6,,38,21,
5,12,11,6,,40,20,
5,12,12,6,,43,19,
5,12,13,8,,59,16,
5,12,15,8,,67,14,
5,12,17,7,,63,14,
5,12,18,7,,63,14,
5,12,19,7,,67,13,
5,12,20,6,,59,14,
5,12,21,7,,67,13,
5,12,22,5,,71,10,
5,12,23,5,,71,10,
6,12,0,6,,76,10,
6,12,1,6,,76,10,
6,12,2,6,,71,11,
6,12,3,6,,67,12,
6,12,4,5,,51,15,
6,12,5,3,,39,17,
6,12,6,4,,35,20,
6,12,7,3,,31,21,
6,12,9,2,,27,22,
6,12,10,2,,27,22,
6,12,11,3,,31,21,
6,12,12,4,,40,18,
6,12,13,5,,48,16,
6,12,14,4,,48,15,
6,12,15,5,,58,13,
6,12,16,3,,48,14,
6,12,17,3,,54,12,
6,12,18,4,,58,12,
6,12,19,3,,54,12,
6,12,20,3,,58,11,
6,12,21,2,,62,9,
6,12,22,4,,76,8,
6,12,23,4,,76,8,
7,12,0,3,,71,8,
7,12,1,3,,76,7,
7,12,3,3,,62,10,
7,12,4,3,,48,14,
7,12,5,2,,39,16,
7,12,6,0,,30,18,
7,12,7,-2,,23,20,
7,12,8,-3,,21,20,
7,12,9,-3,,20,21,
7,12,11,-1,,26,19,
7,12,12,1,,39,15,
7,12,13,1,,41,14,
7,12,14,1,,47,12,
7,12,15,1,,47,12,
7,12,16,1,,54,10,
7,12,17,1,,58,9,
7,12,18,1,,58,9,
7,12,19,1,,62,8,
7,12,20,0,,57,8,
7,12,21,0,,61,7,
7,12,22,-2,,53,7,
7,12,23,2,,76,6,
8,12,0,0,,70,5,
8,12,1,0,,70,5,
8,12,2,0,,66,6,
8,12,3,-1,,53,8,
8,12,4,-2,,38,12,
8,12,5,-3,,29,15,
8,12,6,-5,,22,17,
8,12,7,-7,,17,19,
8,12,8,-7,,17,19,
8,12,9,0,,28,19,
8,12,10,-7,,17,19,
8,12,11,-6,,20,17,
8,12,12,-4,,25,16,
8,12,13,-3,,35,12,
8,12,14,-2,,41,11,
8,12,15,-1,,47,10,
8,12,16,-2,,46,9,
8,12,18,-1,,57,7,
8,12,19,-1,,57,7,
8,12,20,-2,,53,7,
8,12,21,-2,,61,5,
8,12,22,-2,,61,5,
8,12,23,-2,,61,5,
9,12,0,-3,,57,5,
9,12,1,-2,,65,4,
9,12,2,-2,,57,6,
9,12,3,-2,,46,9,
9,12,4,-7,,25,13,
9,12,5,-5,,23,16,
9,12,6,-6,,19,18,
9,12,7,-6,,19,18,
9,12,8,-5,,19,19,
9,12,9,-5,,18,20,
9,12,10,-5,,19,19,
9,12,11,-5,,21,18,
9,12,12,-3,,29,15,
9,12,15,-1,,47,10,
9,12,16,1,,58,9,
9,12,17,-1,,50,9,
9,12,18,-2,,53,7,
9,12,19,-1,,53,8,
9,12,20,-1,,57,7,
9,12,21,-1,,57,7,
9,12,22,-2,,57,6,
9,12,23,0,,70,5,
10,12,0,-2,,65,4,
10,12,1,-3,,61,4,
10,12,2,-3,,57,5,
10,12,3,-3,,49,7,
10,12,4,-2,,38,12,
10,12,5,-2,,33,14,
10,12,6,-3,,26,17,
10,12,7,-4,,21,19,
10,12,8,6,,40,20,
10,12,9,,,N/A,,
10,12,10,-7,,15,21,
10,12,11,-7,,18,18,
10,12,12,-5,,22,17,
10,12,13,-4,,31,13,
10,12,14,-2,,38,12,
10,12,15,-1,,47,10,
10,12,16,-1,,50,9,
10,12,17,,,N/A,,
10,12,18,-1,,53,8,
10,12,19,-1,,53,8,
10,12,20,-1,,53,8,
10,12,21,-1,,61,6,
10,12,22,-2,,57,6,
10,12,23,-2,,61,5,
11,12,0,-3,,57,5,
11,12,1,-3,,57,5,
11,12,2,-3,,53,6,
11,12,7,,,N/A,,
11,12,8,-2,,23,20,
11,12,9,-2,,21,21,
11,12,10,-3,,20,21,
11,12,12,0,,34,16,
11,12,13,1,,44,13,
11,12,14,1,,47,12,
11,12,15,1,,50,11,
11,12,17,1,,54,10,
11,12,18,1,,58,9,
11,12,19,1,,62,8,
11,12,20,2,,71,7,
11,12,21,1,,34,17,
11,12,22,1,,66,7,
11,12,23,1,,70,6,
12,12,0,1,,70,6,
12,12,1,0,,66,6,
12,12,2,1,,70,6,
12,12,3,0,,54,9,
12,12,4,0,,41,13,
12,12,6,-1,,28,18,
12,12,7,-2,,23,20,
12,12,10,-2,,21,21,
12,12,13,1,,39,15,
12,12,14,1,,41,14,
12,12,15,-1,,38,13,
12,12,16,1,,50,11,
12,12,17,1,,54,10,
12,12,19,,,N/A,,
12,12,20,1,,62,8,
12,12,22,1,,66,7,
12,12,23,1,,66,7,
13,12,0,0,,66,6,
13,12,1,4,,87,6,
13,12,2,2,,66,8,
13,12,3,1,,54,10,
13,12,4,2,,51,12,
13,12,5,3,,42,16,
13,12,6,3,,39,17,
13,12,7,3,,35,19,
13,12,8,2,,30,20,
13,12,9,1,,27,21,
13,12,10,1,,27,21,
13,12,11,2,,32,19,
13,12,12,2,,39,16,
13,12,13,3,,48,14,
13,12,15,4,,58,12,
13,12,17,3,,54,12,
13,12,18,3,,62,10,
13,12,19,4,,71,9,
13,12,21,3,,76,7,
13,12,22,3,,76,7,
13,12,23,4,,81,7,
14,12,0,4,,81,7,
14,12,1,4,,81,7,
14,12,2,3,,71,8,
14,12,3,2,,62,9,
14,12,4,2,,51,12,
14,12,5,3,,45,15,
14,12,6,3,,37,18,
14,12,7,2,,32,19,
14,12,8,2,,30,20,
14,12,9,2,,28,21,
14,12,10,2,,28,21,
14,12,11,3,,35,19,
14,12,12,4,,45,16,
14,12,13,4,,51,14,
14,12,14,4,,54,13,
14,12,16,4,,66,10,
14,12,17,3,,62,10,
14,12,19,2,,66,8,
14,12,20,3,,71,8,
14,12,21,2,,71,7,
14,12,22,1,,66,7,
14,12,23,-1,,57,7,
15,12,0,0,,66,6,
15,12,1,1,,76,5,
15,12,2,1,,70,6,
15,12,3,1,,58,9,
15,12,4,2,,47,13,
15,12,5,2,,39,16,
15,12,8,0,,25,21,
15,12,10,1,,27,21,
15,12,11,3,,35,19,
15,12,12,3,,42,16,
15,12,13,3,,45,15,
15,12,14,3,,48,14,
15,12,15,3,,54,12,
15,12,16,3,,54,12,
15,12,17,2,,51,12,
15,12,18,2,,51,12,
15,12,20,2,,58,10,
15,12,21,2,,62,9,
15,12,22,2,,66,8,
16,12,0,2,,66,8,
16,12,1,0,,61,7,
16,12,2,0,,50,10,
16,12,3,0,,44,12,
16,12,5,1,,34,17,
16,12,6,2,,30,20,
16,12,7,-1,,23,21,
16,12,8,-2,,20,22,
16,12,9,-1,,20,23,
16,12,10,0,,23,22,
16,12,11,1,,27,21,
16,12,12,4,,48,15,
16,12,13,4,,48,15,
16,12,14,3,,51,13,
16,12,15,2,,44,14,
16,12,16,2,,47,13,
16,12,17,1,,44,13,
16,12,18,2,,54,11,
16,12,19,1,,47,12,
16,12,20,0,,44,12,
16,12,21,2,,54,11,
16,12,22,4,,66,10,
16,12,23,4,,76,8,
17,12,0,5,,81,8,
17,12,1,5,,76,9,
17,12,2,4,,62,11,
17,12,3,5,,45,17,
17,12,5,4,,33,21,
17,12,6,5,,35,21,
17,12,7,3,,27,23,
17,12,8,2,,25,23,
17,12,9,2,,25,23,
17,12,10,-1,,20,23,
17,12,11,2,,28,21,
17,12,13,7,,52,17,
17,12,14,7,,63,14,
17,12,15,0,,41,13,
17,12,16,6,,67,12,
17,12,17,6,,67,12,
17,12,18,5,,76,9,
17,12,19,5,,76,9,
17,12,20,6,,82,9,
17,12,21,5,,81,8,
17,12,22,5,,76,9,
17,12,23,6,,87,8,
18,12,0,,,N/A,,
18,12,1,5,,81,8,
18,12,2,,,N/A,,
18,12,3,4,,62,11,
18,12,4,5,,45,17,
18,12,5,5,,55,14,
18,12,6,5,,45,17,
18,12,7,3,,35,19,
18,12,8,2,,30,20,
18,12,9,2,,30,20,
18,12,10,2,,30,20,
18,12,11,3,,35,19,
18,12,12,3,,42,16,
18,12,13,4,,51,14,
18,12,14,4,,54,13,
18,12,15,5,,67,11,
18,12,16,5,,71,10,
18,12,17,5,,67,11,
